,Unnamed: 0,open,high,low,close,volume,marketCap,date
count,72946.0,72946.0,72946.0,72946.0,72946.0,72946.0,72946.0,72946
mean,36472.5,870.1944952084302,896.4123858476731,844.0606397443286,871.2948615486979,2207607310.505649,14749221288.694319,2019-10-13 03:20:59.945713152
min,0.0,0.0,1.0221e-10,0.0,8.292e-11,0.0,0.0,2013-05-05 00:00:00
25%,18236.25,0.16791588,0.176799872725,0.15862965465,0.168298231375,8320617.589203588,186043250.0,2018-09-08 00:00:00
50%,36472.5,1.63066601765,1.71754247625,1.5414863753999999,1.640218843,109875645.955259,1268539252.57233,2020-03-17 00:00:00
75%,54708.75,26.07055668615,27.5686768675,24.791775589874998,26.251951464725,669139847.4013239,5118618335.975495,2021-05-02 00:00:00
max,72945.0,67549.7355807849,162188.2554365376,66458.7237330132,67566.8300878775,350967941479.06,1274831490851.01,2022-10-23 00:00:00
std,21057.840705225848,5231.654470159458,5398.612631672192,5079.389387293177,5235.5081380423735,9617884904.434078,75011591365.80736,
